,DBN,School Name,Year,Number Tested,Mean Scale Score,# Level 1,# Level 2,# Level 3,# Level 4
4240,10X037,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,2015,78,288.0,37.0,30.0,9.0,2.0
4252,10X045,THOMAS C. GIORDANO MIDDLE SCHOOL 45,2015,169,267.0,119.0,48.0,2.0,0.0
4324,10X080,J.H.S. 080 THE MOSHOLU PARKWAY,2015,228,265.0,166.0,56.0,6.0,0.0
4408,10X095,P.S. 095 SHEILA MENCHER,2015,94,281.0,51.0,39.0,4.0,0.0
4420,10X118,J.H.S. 118 WILLIAM W. NILES,2015,384,297.0,144.0,128.0,65.0,47.0
4433,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),2015,139,299.0,41.0,62.0,24.0,12.0
4471,10X206,I.S. 206 ANN MERSEREAU,2015,83,277.0,44.0,36.0,3.0,0.0
4483,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,2015,67,300.0,15.0,40.0,10.0,2.0
4505,10X228,JONAS BRONCK ACADEMY,2015,83,316.0,8.0,41.0,25.0,9.0
4517,10X243,WEST BRONX ACADEMY FOR THE FUTURE,2015,56,286.0,24.0,30.0,2.0,0.0
4529,10X244,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,2015,227,294.0,73.0,134.0,19.0,1.0
4551,10X254,I.S. 254,2015,158,286.0,76.0,64.0,16.0,2.0
4572,10X279,"P.S. 279 CAPTAIN MANUEL RIVERA, JR.",2015,135,292.0,50.0,66.0,15.0,4.0
4593,10X280,P.S./M.S. 280 MOSHOLU PARKWAY,2015,81,305.0,21.0,33.0,22.0,5.0
4623,14K582,M.S. 582,2015,54,274.0,40.0,14.0,0.0,0.0
4641,10X308,BRONX DANCE ACADEMY SCHOOL,2015,65,317.0,10.0,23.0,27.0,5.0
4675,10X315,P.S. 315 LAB SCHOOL,2015,35,309.0,11.0,6.0,14.0,4.0
4687,10X331,THE BRONX SCHOOL OF YOUNG LEADERS,2015,120,282.0,59.0,52.0,7.0,2.0
4713,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,2015,51,284.0,28.0,20.0,2.0,1.0
4751,10X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,2015,105,278.0,60.0,42.0,3.0,0.0
4764,10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),2015,119,273.0,76.0,41.0,2.0,0.0
4797,10X390,M.S. 390,2015,101,274.0,60.0,33.0,8.0,0.0
4809,10X391,THE ANGELO PATRI MIDDLE SCHOOL,2015,175,261.0,143.0,28.0,4.0,0.0
4833,10X447,CRESTON ACADEMY,2015,146,296.0,58.0,51.0,24.0,13.0
4845,10X459,EAST FORDHAM ACADEMY FOR THE ARTS,2015,109,260.0,90.0,19.0,0.0,0.0
4878,11X019,P.S. 019 JUDITH K. WEISS,2015,53,315.0,12.0,16.0,11.0,14.0
4961,11X083,P.S. 083 DONALD HERTZ,2015,200,308.0,46.0,91.0,37.0,26.0
4994,11X089,P.S. 089 BRONX,2015,120,274.0,84.0,32.0,4.0,0.0
5115,11X127,J.H.S. 127 THE CASTLE HILL,2015,195,282.0,109.0,72.0,10.0,4.0
5125,11X142,MS 142 JOHN PHILIP SOUSA,2015,108,268.0,78.0,27.0,3.0,0.0
5137,11X144,J.H.S. 144 MICHELANGELO,2015,165,270.0,122.0,41.0,2.0,0.0
5193,11X175,P.S. 175 CITY ISLAND,2015,45,311.0,8.0,23.0,10.0,4.0
5217,11X180,M.S. 180 DR. DANIEL HALE WILLIAMS,2015,284,302.0,81.0,124.0,64.0,15.0
5230,11X181,I.S. 181 PABLO CASALS,2015,297,301.0,114.0,87.0,56.0,40.0
5263,11X194,PS/MS 194,2015,153,307.0,40.0,60.0,32.0,21.0
5275,11X272,GLOBE SCHOOL FOR ENVIRONMENTAL RESEARCH,2015,91,273.0,61.0,28.0,0.0,2.0
