,DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,# Level 2,# Level 3,# Level 4
1739,04M406,GLOBAL TECHNOLOGY PREPARATORY,6,2015,All Students,43,290.0,17.0,17.0,7.0,2.0
1742,04M406,GLOBAL TECHNOLOGY PREPARATORY,7,2015,All Students,53,293.0,23.0,15.0,15.0,0.0
1745,04M406,GLOBAL TECHNOLOGY PREPARATORY,8,2015,All Students,48,302.0,13.0,24.0,10.0,1.0
1763,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,6,2015,All Students,39,304.0,10.0,14.0,12.0,3.0
1766,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,7,2015,All Students,44,308.0,7.0,27.0,9.0,1.0
1769,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,8,2015,All Students,50,308.0,10.0,24.0,14.0,2.0
1775,04M825,ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE,6,2015,All Students,75,287.0,27.0,43.0,5.0,0.0
1778,04M825,ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE,7,2015,All Students,82,287.0,41.0,37.0,4.0,0.0
1781,04M825,ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE,8,2015,All Students,92,276.0,58.0,27.0,7.0,0.0
1832,05M046,P.S. 046 ARTHUR TAPPAN,6,2015,All Students,69,260.0,53.0,15.0,1.0,0.0
1835,05M046,P.S. 046 ARTHUR TAPPAN,7,2015,All Students,67,280.0,39.0,23.0,4.0,1.0
1838,05M046,P.S. 046 ARTHUR TAPPAN,8,2015,All Students,89,280.0,45.0,35.0,8.0,1.0
1865,05M123,P.S. 123 MAHALIA JACKSON,6,2015,All Students,59,276.0,34.0,20.0,5.0,0.0
1868,05M123,P.S. 123 MAHALIA JACKSON,7,2015,All Students,49,266.0,40.0,8.0,1.0,0.0
1871,05M123,P.S. 123 MAHALIA JACKSON,8,2015,All Students,54,265.0,44.0,9.0,0.0,1.0
1898,05M129,P.S. 129 JOHN H. FINLEY,6,2015,All Students,40,279.0,18.0,16.0,5.0,1.0
1901,05M129,P.S. 129 JOHN H. FINLEY,7,2015,All Students,55,282.0,31.0,20.0,4.0,0.0
1904,05M129,P.S. 129 JOHN H. FINLEY,8,2015,All Students,51,271.0,33.0,16.0,1.0,1.0
1922,05M148,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,6,2015,All Students,47,267.0,35.0,8.0,4.0,0.0
1923,05M148,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,7,2015,All Students,62,279.0,40.0,17.0,4.0,1.0
1949,05M161,P.S. 161 PEDRO ALBIZU CAMPOS,6,2015,All Students,111,288.0,44.0,42.0,19.0,6.0
1952,05M161,P.S. 161 PEDRO ALBIZU CAMPOS,7,2015,All Students,113,294.0,43.0,54.0,15.0,1.0
1955,05M161,P.S. 161 PEDRO ALBIZU CAMPOS,8,2015,All Students,120,278.0,68.0,49.0,2.0,1.0
2009,05M286,I.S. M286 RENAISSANCE LEADERSHIP ACADEMY,6,2015,All Students,61,257.0,47.0,12.0,2.0,0.0
2012,05M286,I.S. M286 RENAISSANCE LEADERSHIP ACADEMY,7,2015,All Students,38,264.0,27.0,10.0,1.0,0.0
2015,05M286,I.S. M286 RENAISSANCE LEADERSHIP ACADEMY,8,2015,All Students,58,264.0,47.0,9.0,2.0,0.0
2021,05M302,KAPPA IV,6,2015,All Students,45,260.0,35.0,8.0,2.0,0.0
2024,05M302,KAPPA IV,7,2015,All Students,60,264.0,50.0,10.0,0.0,0.0
2027,05M302,KAPPA IV,8,2015,All Students,73,258.0,58.0,14.0,1.0,0.0
2045,05M362,COLUMBIA SECONDARY SCHOOL,6,2015,All Students,90,352.0,1.0,4.0,18.0,67.0
2048,05M362,COLUMBIA SECONDARY SCHOOL,7,2015,All Students,88,342.0,0.0,13.0,36.0,39.0
2058,05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,8,2015,All Students,13,261.0,10.0,3.0,0.0,0.0
2064,05M410,THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES,6,2015,All Students,28,266.0,21.0,5.0,2.0,0.0
